date,w_AAPL,w_MSFT,w_GOOG,w_AMZN,w_TSLA
2022-10-07,-0.09378916195104975,0.39600252660539137,-0.033828415697927085,0.09965962101241531,-0.37672027473321656
2022-10-10,-0.18874034950537263,0.18185010919091923,0.2745759887384832,-0.1884614092269729,-0.1663721433382519
2022-10-11,0.2741699877231619,-0.2365462461406863,0.2606970428483311,0.13618887853701966,-0.09239784475080087
2022-10-12,0.008115263881981694,-0.01480455348795404,0.5528893749185663,0.013229609163877908,-0.41096119854762003
2022-10-13,-0.3047620308068282,0.18766447059214367,-0.19654353227451155,0.2197070275411244,-0.0913229387853921
2022-10-14,0.253052738293534,-0.04159235727160983,-0.1848922842257056,0.4923773708499587,0.028085249359191926
2022-10-17,-0.11197472782225737,-0.012776512402666342,0.44607804264776907,-0.39466805864886645,-0.034502658478440786
2022-10-18,-0.16687655413986738,0.028300342707619622,0.42813928668654794,-0.32679523095092516,-0.04988858551503976
2022-10-19,-0.15251279782915483,0.08831704204396458,0.3604770099500629,-0.29775611228368043,-0.10093703789313725
2022-10-20,-0.11956773762856644,-0.09489976563963842,0.44310632325297583,-0.2777002463091948,0.06472592716962448
2022-10-21,-0.16695892450352526,-0.2586880271808187,0.2723995442974342,0.091019633448914,0.21093387056930785
2022-10-24,-0.12907269737346563,-0.32003916215918166,0.2821845433243865,0.0906199305495061,0.17808366659346006
